Representative_Sequence	total_reads_NC	total_reads_samps	perc_in_neg	total_samples	num_samp_nc	num_samp_no_nc	perc_in_neg_samp
M06508_18_000000000-CNPPR_1_2114_11681_19863	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1108_18122_27536	4	4	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1102_18906_22633	6	6	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1102_6131_14404	1	2	33.333333	3	1	2	33.33333333333333
M06508_12_000000000-CJG44_1_1102_22382_17087	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2110_17408_19302	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1111_9213_11382	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2110_27416_14353	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2108_14796_12606	2	19	9.52381	17	1	16	5.88235294117647
M06508_12_000000000-CJG44_1_1105_17242_19162	3	24	11.111111	15	1	14	6.666666666666667
M06508_18_000000000-CNPPR_1_1101_11501_16666	2	21	8.695652	13	1	12	7.6923076923076925
M06508_16_000000000-CMN9T_1_2102_14765_12570	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1107_15848_15119	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1104_16770_3368	2	2	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2101_3449_15805	1	2	33.333333	3	1	2	33.33333333333333
M06508_18_000000000-CNPPR_1_1110_19721_14574	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1114_2951_12739	5	69	6.756757	26	1	25	3.8461538461538463
M06508_18_000000000-CNPPR_1_2107_22881_13062	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2111_20699_11846	4	4	50	2	1	1	50
M06508_12_000000000-CJG44_1_1108_19983_9531	9	13	40.909091	11	6	5	54.54545454545454
M06508_18_000000000-CNPPR_1_1113_20303_6068	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1107_20488_11143	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2109_15117_5027	1	88654	0.001128	739	1	738	0.13531799729364005
M06508_16_000000000-CMN9T_1_2111_10715_27665	1	2	33.333333	3	1	2	33.33333333333333
M06508_8_000000000-JTFYW_1_1114_22092_8326	1	7	12.5	8	1	7	12.5
M06508_16_000000000-CMN9T_1_1114_8670_6268	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2113_19921_13356	2	2	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1103_8143_15529	2	2	50	3	2	1	66.66666666666666
M06508_16_000000000-CMN9T_1_1113_13785_24293	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2107_23023_14169	1	17	5.555556	17	1	16	5.88235294117647
M06508_12_000000000-CJG44_1_1103_17980_11802	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1106_8472_7566	1	3	25	3	1	2	33.33333333333333
M06508_16_000000000-CMN9T_1_2107_19438_17493	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2108_4955_19547	2	2	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2112_23466_9537	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2103_22361_15581	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1104_25667_14353	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2103_18155_6669	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1107_29017_19574	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1111_15150_7239	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2101_28013_19016	1	1	50	2	1	1	50
